Site_Number,Sampling_Area,Notes,Cover_Type,Cover_Class_Name,Cover_Percent
1171,CRBU: Slide Rock Road,"Species/FT cover summed to less than PV cover, reduced other forb by 10% after reviewing photo.",Other Cover Types,Non-Photosynthetic Vegetation,35
1172,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Asteraceae-Ericameria nauseosa,25
1172,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Forb ,10
1172,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Graminoid ,10
1172,CRBU: Slide Rock Road,NA,Other Cover Types,Nonvegetated Dirt ,5
1172,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,50
1173,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,40
1173,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,10
1173,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Forb ,10
1173,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Graminoid ,10
1173,CRBU: Slide Rock Road,NA,Other Cover Types,Nonvegetated Dirt ,20
1173,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1174,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,15
1174,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Rosaceae-Potentilla pulcherrima,20
1174,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Forb ,5
1174,CRBU: Slide Rock Road,NA,Other Cover Types,Nonvegetated Dirt ,10
1174,CRBU: Slide Rock Road,NA,Other Cover Types,Nonvegetated Rock,10
1174,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,40
1175,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Forb ,20
1175,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,15
1175,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Graminoid ,5
1175,CRBU: Slide Rock Road,NA,Other Cover Types,Nonvegetated Dirt ,10
1175,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,50
1176,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,30
1176,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Polygonaceae-Eriogonum umbellatum,15
1176,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Forb ,15
1176,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Graminoid ,5
1176,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,35
1177,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Caryophyllaceae-Eremogone congesta,30
1177,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Polygonaceae-Eriogonum umbellatum,10
1177,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Forb ,15
1177,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Graminoid ,20
1177,CRBU: Slide Rock Road,NA,Other Cover Types,Nonvegetated Dirt ,5
1177,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1178,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Poaceae-Festuca thurberi,25
1178,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Rosaceae-Potentilla pulcherrima,15
1178,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Fabaceae-Vicia americana,15
1178,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Forb ,20
1178,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Graminoid ,10
1178,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1179,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Rosaceae-Potentilla pulcherrima,55
1179,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Asteraceae-Hymenoxys hoopesii,10
1179,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Forb ,10
1179,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Graminoid ,15
1179,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1180,CRBU: Slide Rock Road,Voucher ID: 9011,Live Vegetation - Named Species,Cyperaceae-Carex aquatilis,75
1180,CRBU: Slide Rock Road,Marshy,Live Vegetation - Other Species,Other Forb ,5
1180,CRBU: Slide Rock Road,Marshy,Other Cover Types,Non-Photosynthetic Vegetation,20
1181,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Ranunculaceae-Caltha leptosepala,35
1181,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Orobanchaceae-Pedicularis groenlandica,15
1181,CRBU: Slide Rock Road,Voucher ID: 9011,Live Vegetation - Named Species,Cyperaceae-Carex aquatilis,30
1181,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Moss/Lichen,10
1181,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1182,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Fabaceae-Lathyrus lanszwertii,15
1182,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Caryophyllaceae-Eremogone congesta,10
1182,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Forb ,25
1182,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Graminoid ,15
1182,CRBU: Slide Rock Road,NA,Other Cover Types,Nonvegetated Dirt ,20
1182,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1183,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Fabaceae-Lathyrus lanszwertii,60
1183,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Forb ,15
1183,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1183,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Graminoid ,5
1183,CRBU: Slide Rock Road,NA,Other Cover Types,Nonvegetated Dirt ,5
1183,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1184,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Ranunculaceae-Caltha leptosepala,90
1184,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Forb ,5
1184,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Graminoid ,5
1185,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Asteraceae-Taraxacum officinale,30
1185,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Rosaceae-Potentilla pulcherrima,20
1185,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Forb ,15
1185,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Graminoid ,5
1185,CRBU: Slide Rock Road,NA,Other Cover Types,Nonvegetated Dirt ,10
1185,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1186,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Poaceae-Phleum pratense,90
1186,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1187,CRBU: Slide Rock Road,Voucher ID: 9011,Live Vegetation - Named Species,Cyperaceae-Carex aquatilis,75
1187,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Ranunculaceae-Caltha leptosepala,10
1187,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Polygonaceae-Rumex densiflorus,10
1187,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1188,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Melanthiaceae-Veratrum californicum,80
1188,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Ranunculaceae-Delphinium barbeyi,10
1188,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Forb ,5
1188,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1189,CRBU: Slide Rock Road,"NDVI outlier, boosted DESCES cover by 15% and reduced NPV by 15% after reviewing plot photo.",Live Vegetation - Named Species,Ranunculaceae-Caltha leptosepala,15
1189,CRBU: Slide Rock Road,Voucher ID: 9003,Live Vegetation - Named Species,Poaceae-Deschampsia cespitosa,60
1189,CRBU: Slide Rock Road,"NDVI outlier, boosted DESCES cover by 15% and reduced NPV by 15% after reviewing plot photo.",Live Vegetation - Other Species,Other Forb ,5
1189,CRBU: Slide Rock Road,"NDVI outlier, boosted DESCES cover by 15% and reduced NPV by 15% after reviewing plot photo.",Other Cover Types,Nonvegetated Dirt ,5
1189,CRBU: Slide Rock Road,"NDVI outlier, boosted DESCES cover by 15% and reduced NPV by 15% after reviewing plot photo.",Other Cover Types,Non-Photosynthetic Vegetation,15
1190,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Ranunculaceae-Caltha leptosepala,75
1190,CRBU: Slide Rock Road,NA,Live Vegetation - Named Species,Crassulaceae-Rhodiola integrifolia,10
1190,CRBU: Slide Rock Road,NA,Live Vegetation - Other Species,Other Graminoid ,10
1190,CRBU: Slide Rock Road,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1191,CRBU: South Baldy,NA,Live Vegetation - Named Species,Apiaceae-Ligusticum porteri,80
1191,CRBU: South Baldy,NA,Live Vegetation - Named Species,Asteraceae-Helianthella quinquenervis,10
1191,CRBU: South Baldy,NA,Live Vegetation - Named Species,Polygonaceae-Rumex densiflorus,10
1192,CRBU: South Baldy,NA,Live Vegetation - Named Species,Crassulaceae-Rhodiola rhodantha,25
1192,CRBU: South Baldy,NA,Live Vegetation - Named Species,Apiaceae-Ligusticum porteri,30
1192,CRBU: South Baldy,NA,Live Vegetation - Named Species,Caprifoliaceae-Valeriana edulis,20
1192,CRBU: South Baldy,NA,Live Vegetation - Named Species,Asteraceae-Hymenoxys hoopesii,10
1192,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Forb ,5
1192,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Graminoid ,5
1192,CRBU: South Baldy,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1193,CRBU: South Baldy,NA,Live Vegetation - Named Species,Apiaceae-Ligusticum porteri,25
1193,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Forb ,35
1193,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Graminoid ,5
1193,CRBU: South Baldy,NA,Other Cover Types,Nonvegetated Dirt ,30
1193,CRBU: South Baldy,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1194,CRBU: South Baldy,NA,Live Vegetation - Named Species,Asteraceae-Eucephalus engelmannii,65
1194,CRBU: South Baldy,NA,Live Vegetation - Named Species,Apiaceae-Ligusticum porteri,10
1194,CRBU: South Baldy,NA,Live Vegetation - Named Species,Poaceae-Bromopsis inermis,10
1194,CRBU: South Baldy,NA,Other Cover Types,Nonvegetated Dirt ,15
1195,CRBU: South Baldy,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,20
1195,CRBU: South Baldy,NA,Live Vegetation - Named Species,Asteraceae-Hymenoxys hoopesii,10
1195,CRBU: South Baldy,NA,Live Vegetation - Named Species,Asteraceae-Helianthella quinquenervis,15
1195,CRBU: South Baldy,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,10
1195,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Forb ,5
1195,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Graminoid ,5
1195,CRBU: South Baldy,NA,Other Cover Types,Nonvegetated Dirt ,30
1195,CRBU: South Baldy,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1196,CRBU: South Baldy,NA,Live Vegetation - Named Species,Ranunculaceae-Aquilegia coerulea,15
1196,CRBU: South Baldy,NA,Live Vegetation - Named Species,Ranunculaceae-Thalictrum fendleri,20
1196,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Forb ,10
1196,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Graminoid ,15
1196,CRBU: South Baldy,NA,Other Cover Types,Nonvegetated Dirt ,35
1196,CRBU: South Baldy,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1197,CRBU: South Baldy,NA,Live Vegetation - Named Species,Apiaceae-Ligusticum porteri,25
1197,CRBU: South Baldy,NA,Live Vegetation - Named Species,Caprifoliaceae-Valeriana edulis,20
1197,CRBU: South Baldy,NA,Live Vegetation - Named Species,Poaceae-Bromopsis inermis,30
1197,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Forb ,10
1197,CRBU: South Baldy,NA,Other Cover Types,Nonvegetated Dirt ,10
1197,CRBU: South Baldy,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1198,CRBU: South Baldy,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,25
1198,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1198,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Graminoid ,15
1198,CRBU: South Baldy,NA,Other Cover Types,Nonvegetated Dirt ,40
1198,CRBU: South Baldy,NA,Other Cover Types,Nonvegetated Rock,5
1198,CRBU: South Baldy,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1199,CRBU: South Baldy,NA,Live Vegetation - Named Species,Fabaceae-Lupinus argenteus,35
1199,CRBU: South Baldy,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,15
1199,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Forb ,10
1199,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,10
1199,CRBU: South Baldy,NA,Other Cover Types,Nonvegetated Dirt ,30
1200,CRBU: South Baldy,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,15
1200,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Forb ,10
1200,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Graminoid ,10
1200,CRBU: South Baldy,NA,Other Cover Types,Nonvegetated Dirt ,60
1200,CRBU: South Baldy,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1201,CRBU: South Baldy,NA,Live Vegetation - Named Species,Ericaceae-Vaccinium cespitosum,55
1201,CRBU: South Baldy,NA,Live Vegetation - Named Species,Fabaceae-Lupinus argenteus,10
1201,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Forb ,5
1201,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1201,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Graminoid ,5
1201,CRBU: South Baldy,NA,Other Cover Types,Nonvegetated Dirt ,15
1201,CRBU: South Baldy,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1202,CRBU: South Baldy,NA,Live Vegetation - Named Species,Ericaceae-Vaccinium cespitosum,60
1202,CRBU: South Baldy,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,10
1202,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Forb ,5
1202,CRBU: South Baldy,NA,Other Cover Types,Nonvegetated Rock,10
1202,CRBU: South Baldy,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1203,CRBU: South Baldy,NA,Live Vegetation - Named Species,Melanthiaceae-Veratrum californicum,65
1203,CRBU: South Baldy,NA,Live Vegetation - Named Species,Papaveraceae-Corydalis caseana,15
1203,CRBU: South Baldy,NA,Live Vegetation - Named Species,Apiaceae-Ligusticum porteri,10
1203,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Forb ,5
1203,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Graminoid ,5
1204,CRBU: South Baldy,NA,Live Vegetation - Named Species,Apiaceae-Ligusticum porteri,35
1204,CRBU: South Baldy,NA,Live Vegetation - Named Species,Gentianaceae-Frasera speciosa,20
1204,CRBU: South Baldy,NA,Live Vegetation - Named Species,Ranunculaceae-Aquilegia coerulea,10
1204,CRBU: South Baldy,NA,Live Vegetation - Named Species,Crassulaceae-Rhodiola rhodantha,10
1204,CRBU: South Baldy,NA,Live Vegetation - Named Species,Asteraceae-Helianthella quinquenervis,10
1204,CRBU: South Baldy,NA,Live Vegetation - Other Species,Other Forb ,5
1204,CRBU: South Baldy,NA,Other Cover Types,Nonvegetated Dirt ,10
1205,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Ericaceae-Vaccinium cespitosum,15
1205,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,10
1205,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Poaceae-Deschampsia cespitosa,10
1205,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Forb ,5
1205,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Graminoid ,5
1205,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,25
1205,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Rock,20
1205,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1206,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Ericaceae-Vaccinium cespitosum,45
1206,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Senecio crassulus,10
1206,CRBU: Paradise Basin,Voucher ID: 9020,Live Vegetation - Named Species,Cyperaceae-Carex pachystachya,10
1206,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,25
1206,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1207,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,30
1207,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Ranunculaceae-Aquilegia coerulea,10
1207,CRBU: Paradise Basin,Voucher ID: 9021,Live Vegetation - Named Species,Poaceae-Deschampsia cespitosa,10
1207,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,20
1207,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Rock,25
1207,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1208,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,10
1208,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Ericaceae-Vaccinium cespitosum,20
1208,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Forb ,5
1208,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Graminoid ,5
1208,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,40
1208,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Rock,20
1209,CRBU: Paradise Basin,Voucher ID: 9050,Live Vegetation - Named Species,Cyperaceae-Carex pachystachya,25
1209,CRBU: Paradise Basin,"removed cover data for duplicate unknown (9051, 25%).",Live Vegetation - Named Species,Poaceae-Deschampsia cespitosa,30
1209,CRBU: Paradise Basin,"removed cover data for duplicate unknown (9051, 25%).",Live Vegetation - Other Species,Other Forb ,10
1209,CRBU: Paradise Basin,"removed cover data for duplicate unknown (9051, 25%).",Other Cover Types,Nonvegetated Dirt ,10
1209,CRBU: Paradise Basin,"removed cover data for duplicate unknown (9051, 25%).",Other Cover Types,Non-Photosynthetic Vegetation,25
1210,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,10
1210,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Senecio crassulus,15
1210,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Poaceae-Deschampsia cespitosa,10
1210,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Forb ,5
1210,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,35
1210,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Rock,20
1210,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1211,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Senecio crassulus,15
1211,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Heterotheca villosa,20
1211,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Forb ,15
1211,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Graminoid ,10
1211,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,15
1211,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Rock,5
1211,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1212,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Polygonaceae-Bistorta bistortoides,10
1212,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Poaceae-Deschampsia cespitosa,30
1212,CRBU: Paradise Basin,Voucher ID: 9002,Live Vegetation - Named Species,Juncaceae-Juncus parryi,20
1212,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,40
1213,CRBU: Paradise Basin,Voucher ID: 9028,Live Vegetation - Named Species,Salicaceae-Salix glauca,40
1213,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Ericaceae-Vaccinium cespitosum,15
1213,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Forb ,15
1213,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Graminoid ,5
1213,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,5
1213,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Rock,5
1213,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1214,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Orobanchaceae-Castilleja septentrionalis,15
1214,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Poaceae-Deschampsia cespitosa,10
1214,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Forb ,20
1214,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Graminoid ,15
1214,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,10
1214,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,30
1215,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Senecio crassulus,10
1215,CRBU: Paradise Basin,Voucher ID: 9002,Live Vegetation - Named Species,Juncaceae-Juncus parryi,20
1215,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,60
1215,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Rock,10
1216,CRBU: Paradise Basin,Voucher ID: 9019,Live Vegetation - Named Species,Juncaceae-Juncus parryi,50
1216,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Forb ,5
1216,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Graminoid ,5
1216,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,5
1216,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,35
1217,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Poaceae-Deschampsia cespitosa,10
1217,CRBU: Paradise Basin,Voucher ID: 9002,Live Vegetation - Named Species,Juncaceae-Juncus parryi,10
1217,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Arnica mollis,60
1217,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Senecio crassulus,10
1217,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,5
1217,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1218,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Ranunculaceae-Caltha leptosepala,25
1218,CRBU: Paradise Basin,Voucher ID: 9019,Live Vegetation - Named Species,Juncaceae-Juncus parryi,10
1218,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Forb ,5
1218,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Graminoid ,10
1218,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,50
1219,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Ericaceae-Vaccinium cespitosum,35
1219,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Erigeron grandiflorus,10
1219,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Forb ,20
1219,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,15
1219,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Rock,10
1219,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1220,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Ericaceae-Vaccinium cespitosum,35
1220,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Forb ,5
1220,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Moss/Lichen,20
1220,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Rock,20
1220,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1221,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Poaceae-Deschampsia cespitosa,20
1221,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Arnica mollis,40
1221,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Graminoid ,10
1221,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,25
1221,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1222,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Polygonaceae-Bistorta bistortoides,30
1222,CRBU: Paradise Basin,Voucher ID: 9029,Live Vegetation - Named Species,Cyperaceae-Carex aquatilis,20
1222,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Graminoid ,15
1222,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,35
1223,CRBU: Paradise Basin,NA,Live Vegetation - Named Species,Asteraceae-Arnica mollis,35
1223,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Forb ,35
1223,CRBU: Paradise Basin,NA,Live Vegetation - Other Species,Other Graminoid ,20
1223,CRBU: Paradise Basin,NA,Other Cover Types,Nonvegetated Dirt ,5
1223,CRBU: Paradise Basin,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1224,CRBU: Paradise Basin,"Species/FT cover initially greater than PV cover, reduced other forb and dominant species cover by 5% after reviewing photo.",Live Vegetation - Named Species,Poaceae-Deschampsia cespitosa,25
1224,CRBU: Paradise Basin,"Species/FT cover initially greater than PV cover, reduced other forb and dominant species cover by 5% after reviewing photo.",Live Vegetation - Named Species,Ranunculaceae-Aconitum columbianum,10
1224,CRBU: Paradise Basin,"Species/FT cover initially greater than PV cover, reduced other forb and dominant species cover by 5% after reviewing photo.",Live Vegetation - Named Species,Ranunculaceae-Caltha leptosepala,45
1224,CRBU: Paradise Basin,"Species/FT cover initially greater than PV cover, reduced other forb and dominant species cover by 5% after reviewing photo.",Live Vegetation - Named Species,Asteraceae-Senecio triangularis,10
1224,CRBU: Paradise Basin,"Species/FT cover initially greater than PV cover, reduced other forb and dominant species cover by 5% after reviewing photo.",Live Vegetation - Other Species,Other Moss/Lichen,5
1224,CRBU: Paradise Basin,"Species/FT cover initially greater than PV cover, reduced other forb and dominant species cover by 5% after reviewing photo.",Other Cover Types,Non-Photosynthetic Vegetation,5
1225,CRBU: Carbon Creek,NA,Live Vegetation - Named Species,Asteraceae-Heliomeris multiflora,15
1225,CRBU: Carbon Creek,NA,Live Vegetation - Other Species,Other Forb ,15
1225,CRBU: Carbon Creek,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
